Year,City,Month,Mean max temperature (°C),Monthly precipitation (mm)
1990,Melbourne,January,26,3.8
1990,Melbourne,February,25.4,74.4
1990,Melbourne,March,24.7,32
1990,Melbourne,April,20.7,94.6
1990,Melbourne,May,17.5,17.2
1990,Melbourne,June,14.6,37.2
1990,Melbourne,July,14.8,91
1990,Melbourne,August,14.4,49.8
1990,Melbourne,September,17.5,54.4
1990,Melbourne,October,20.6,96.6
1990,Melbourne,November,22.9,47.6
1990,Melbourne,December,26.1,26.6
1990,Sydney,January,25.5,84
1990,Sydney,February,25.4,630.6
1990,Sydney,March,25.3,161.6
1990,Sydney,April,23.1,320.4
1990,Sydney,May,21.3,131.2
1990,Sydney,June,17.4,45.2
1990,Sydney,July,17.3,67
1990,Sydney,August,17.5,204.8
1990,Sydney,September,19.4,205.4
1990,Sydney,October,21.9,46.8
1990,Sydney,November,24.5,36.2
1990,Sydney,December,28.6,43.6
1990,Perth,January,29.2,46
1990,Perth,February,24.7,98.6
1990,Perth,March,24.6,27.8
1990,Perth,April,18.4,166
1990,Perth,May,16.1,62.2
1990,Perth,June,10.9,28.8
1990,Perth,July,10.8,83
1990,Perth,August,10.6,144
1990,Perth,September,15.6,17.8
1990,Perth,October,19.9,37
1990,Perth,November,24.6,14
1990,Perth,December,30.6,8.8
1990,Adelaide,January,29.1,27
1990,Adelaide,February,27.3,6
1990,Adelaide,March,28.4,1
1990,Adelaide,April,23.1,12.2
1990,Adelaide,May,20,15.4
1990,Adelaide,June,16.1,89.4
1990,Adelaide,July,15.5,104.6
1990,Adelaide,August,15.1,92
1990,Adelaide,September,20.4,43.8
1990,Adelaide,October,22.9,32.8
1990,Adelaide,November,26.9,12
1990,Adelaide,December,26.5,45.6
1991,Melbourne,January,26,126
1991,Melbourne,February,25.7,0.6
1991,Melbourne,March,24.1,55.6
1991,Melbourne,April,20.3,43.8
1991,Melbourne,May,16.9,19
1991,Melbourne,June,15.9,116.8
1991,Melbourne,July,14.1,50.6
1991,Melbourne,August,15.1,63.2
1991,Melbourne,September,17,74.2
1991,Melbourne,October,21.4,34.2
1991,Melbourne,November,22.2,25.4
1991,Melbourne,December,23.1,111.2
1991,Sydney,January,29.1,120
1991,Sydney,February,28.2,63.4
1991,Sydney,March,25.6,28.6
1991,Sydney,April,23.1,53
1991,Sydney,May,20,141.2
1991,Sydney,June,19.5,340.6
1991,Sydney,July,17,108.4
1991,Sydney,August,18.8,6
1991,Sydney,September,21.5,18.4
1991,Sydney,October,23.7,11
1991,Sydney,November,23.4,40.6
1991,Sydney,December,24.2,190.2
1991,Perth,January,29.8,47.6
1991,Perth,February,31.5,7.4
1991,Perth,March,26.4,59.2
1991,Perth,April,21.2,8
1991,Perth,May,16.8,30.8
1991,Perth,June,14.2,48.2
1991,Perth,July,10.5,60.8
1991,Perth,August,11.3,67.8
1991,Perth,September,15.4,42.2
1991,Perth,October,21.9,27.6
1991,Perth,November,23.5,27.2
1991,Perth,December,24.7,83.6
1991,Adelaide,January,30.3,17.6
1991,Adelaide,February,30.9,0
1991,Adelaide,March,26,4.4
1991,Adelaide,April,22.7,32.2
1991,Adelaide,May,18.8,14
1991,Adelaide,June,17.5,138.2
1991,Adelaide,July,15.3,95.8
1991,Adelaide,August,15.6,81.6
1991,Adelaide,September,19.1,77.6
1991,Adelaide,October,22.9,6.2
1991,Adelaide,November,24.4,34.2
1991,Adelaide,December,25.5,5.8
1992,Melbourne,January,22.4,45.4
1992,Melbourne,February,24.6,32
1992,Melbourne,March,24.6,28.2
1992,Melbourne,April,21.4,43.4
1992,Melbourne,May,17.4,64.4
1992,Melbourne,June,14.5,45
1992,Melbourne,July,14.5,26.8
1992,Melbourne,August,14.5,65
1992,Melbourne,September,15,125.2
1992,Melbourne,October,19.7,106
1992,Melbourne,November,20.9,139.8
1992,Melbourne,December,24.6,108.6
1992,Sydney,January,25.3,66.2
1992,Sydney,February,25,408.6
1992,Sydney,March,25.4,76.4
1992,Sydney,April,22.5,60.8
1992,Sydney,May,19.7,68.2
1992,Sydney,June,17.3,108
1992,Sydney,July,17.8,14.8
1992,Sydney,August,18.1,48
1992,Sydney,September,19.7,21
1992,Sydney,October,21.1,70.8
1992,Sydney,November,22.3,138
1992,Sydney,December,24,201.6
1992,Perth,January,26.7,142
1992,Perth,February,23.8,160.6
1992,Perth,March,24.5,25
1992,Perth,April,20.1,36.2
1992,Perth,May,15.4,27.4
1992,Perth,June,11.3,17.4
1992,Perth,July,12.2,23
1992,Perth,August,12.2,71
1992,Perth,September,13.7,51
1992,Perth,October,18.5,61.6
1992,Perth,November,19.9,84.6
1992,Perth,December,22.9,140.6
1992,Adelaide,January,25.1,0.4
1992,Adelaide,February,29.1,10.8
1992,Adelaide,March,26.2,74.8
1992,Adelaide,April,22.8,43.8
1992,Adelaide,May,18.1,77.8
1992,Adelaide,June,15.7,76.8
1992,Adelaide,July,15.9,65.6
1992,Adelaide,August,15.4,129
1992,Adelaide,September,15.8,151.4
1992,Adelaide,October,21.2,75.8
1992,Adelaide,November,21.5,107
1992,Adelaide,December,24.9,70
1993,Melbourne,January,27.3,92.8
1993,Melbourne,February,26.7,58.8
1993,Melbourne,March,23.5,37.6
1993,Melbourne,April,23.1,20.2
1993,Melbourne,May,17.7,37.4
1993,Melbourne,June,14.1,36.6
1993,Melbourne,July,14.9,51.4
1993,Melbourne,August,17.4,53.2
1993,Melbourne,September,17.3,126
1993,Melbourne,October,19.4,61.2
1993,Melbourne,November,20.8,71.4
1993,Melbourne,December,23.1,197.4
1993,Sydney,January,26.5,61
1993,Sydney,February,27.3,100.2
1993,Sydney,March,24.7,97.4
1993,Sydney,April,23.6,66.2
1993,Sydney,May,20.3,18.6
1993,Sydney,June,17.3,55.8
1993,Sydney,July,17.6,104.4
1993,Sydney,August,18.9,62
1993,Sydney,September,19.8,159.4
1993,Sydney,October,22.3,59
1993,Sydney,November,23.2,93.4
1993,Sydney,December,25.7,35.6
1993,Perth,January,29.1,29.6
1993,Perth,February,27.8,54.6
1993,Perth,March,22.7,72
1993,Perth,April,22.3,14.2
1993,Perth,May,16.7,34.8
1993,Perth,June,11.7,28
1993,Perth,July,13.2,84.8
1993,Perth,August,14.3,22
1993,Perth,September,15.3,83.8
1993,Perth,October,18.5,85
1993,Perth,November,22.4,94.4
1993,Perth,December,24.6,23.6
1993,Adelaide,January,28.5,33.8
1993,Adelaide,February,28.3,26.6
1993,Adelaide,March,25.9,17.4
1993,Adelaide,April,24.8,1.4
